timestamp,center_image,left_image,right_image,steering,throttle,speed
20250427_145706_740215,center_20250427_145706_740215.png,left_20250427_145706_740215.png,right_20250427_145706_740215.png,0.0,0.0,0.0
20250427_145707_471221,center_20250427_145707_471221.png,left_20250427_145707_471221.png,right_20250427_145707_471221.png,0.0,0.0,0.0
20250427_145707_575212,center_20250427_145707_575212.png,left_20250427_145707_575212.png,right_20250427_145707_575212.png,0.0,0.0,0.0
20250427_145707_679213,center_20250427_145707_679213.png,left_20250427_145707_679213.png,right_20250427_145707_679213.png,0.0,0.0,0.0
20250427_145707_785215,center_20250427_145707_785215.png,left_20250427_145707_785215.png,right_20250427_145707_785215.png,0.0,0.0,0.0
20250427_145707_891212,center_20250427_145707_891212.png,left_20250427_145707_891212.png,right_20250427_145707_891212.png,0.0,0.0,0.0
20250427_145707_996217,center_20250427_145707_996217.png,left_20250427_145707_996217.png,right_20250427_145707_996217.png,0.0,0.5,0.0
20250427_145708_101236,center_20250427_145708_101236.png,left_20250427_145708_101236.png,right_20250427_145708_101236.png,0.0,0.5,-0.033564917743206024
20250427_145708_206213,center_20250427_145708_206213.png,left_20250427_145708_206213.png,right_20250427_145708_206213.png,0.0,0.5,-0.007409090641885996
20250427_145708_311212,center_20250427_145708_311212.png,left_20250427_145708_311212.png,right_20250427_145708_311212.png,0.0,0.5,-0.010828720405697823
20250427_145708_413213,center_20250427_145708_413213.png,left_20250427_145708_413213.png,right_20250427_145708_413213.png,0.0,0.5,-0.015612191520631313
20250427_145708_514213,center_20250427_145708_514213.png,left_20250427_145708_514213.png,right_20250427_145708_514213.png,0.0,0.5,-0.027715831995010376
20250427_145708_620213,center_20250427_145708_620213.png,left_20250427_145708_620213.png,right_20250427_145708_620213.png,0.0,0.5,-0.15576183795928955
20250427_145708_724213,center_20250427_145708_724213.png,left_20250427_145708_724213.png,right_20250427_145708_724213.png,0.0,0.5,-0.3009640872478485
20250427_145708_829234,center_20250427_145708_829234.png,left_20250427_145708_829234.png,right_20250427_145708_829234.png,0.0,0.5,-0.3117397129535675
20250427_145708_934220,center_20250427_145708_934220.png,left_20250427_145708_934220.png,right_20250427_145708_934220.png,0.0,0.5,-0.43956607580184937
20250427_145709_039214,center_20250427_145709_039214.png,left_20250427_145709_039214.png,right_20250427_145709_039214.png,0.0,0.5,-0.5470373630523682
20250427_145709_145213,center_20250427_145709_145213.png,left_20250427_145709_145213.png,right_20250427_145709_145213.png,0.0,0.5,-0.6809712648391724
20250427_145709_248221,center_20250427_145709_248221.png,left_20250427_145709_248221.png,right_20250427_145709_248221.png,0.0,0.5,-0.8509249687194824
20250427_145709_351215,center_20250427_145709_351215.png,left_20250427_145709_351215.png,right_20250427_145709_351215.png,0.5,0.5,-1.004099726676941
20250427_145709_454212,center_20250427_145709_454212.png,left_20250427_145709_454212.png,right_20250427_145709_454212.png,0.5,0.5,-1.1363203525543213
20250427_145709_559213,center_20250427_145709_559213.png,left_20250427_145709_559213.png,right_20250427_145709_559213.png,0.5,0.5,-1.2489427328109741
20250427_145709_664213,center_20250427_145709_664213.png,left_20250427_145709_664213.png,right_20250427_145709_664213.png,0.5,0.5,-1.3422471284866333
20250427_145709_771213,center_20250427_145709_771213.png,left_20250427_145709_771213.png,right_20250427_145709_771213.png,0.5,0.5,-1.4458760023117065
20250427_145709_877213,center_20250427_145709_877213.png,left_20250427_145709_877213.png,right_20250427_145709_877213.png,0.5,0.5,-1.5272021293640137
20250427_145709_979214,center_20250427_145709_979214.png,left_20250427_145709_979214.png,right_20250427_145709_979214.png,0.5,0.5,-1.55851149559021
20250427_145710_081213,center_20250427_145710_081213.png,left_20250427_145710_081213.png,right_20250427_145710_081213.png,0.5,0.5,-1.5955795049667358
20250427_145710_188214,center_20250427_145710_188214.png,left_20250427_145710_188214.png,right_20250427_145710_188214.png,0.5,0.5,-1.6142780780792236
20250427_145710_292213,center_20250427_145710_292213.png,left_20250427_145710_292213.png,right_20250427_145710_292213.png,0.5,0.5,-1.7516913414001465
20250427_145710_398213,center_20250427_145710_398213.png,left_20250427_145710_398213.png,right_20250427_145710_398213.png,0.5,0.5,-1.7695674896240234
20250427_145710_504213,center_20250427_145710_504213.png,left_20250427_145710_504213.png,right_20250427_145710_504213.png,0.5,0.5,-1.7724835872650146
20250427_145710_608213,center_20250427_145710_608213.png,left_20250427_145710_608213.png,right_20250427_145710_608213.png,0.5,0.5,-1.7696832418441772
20250427_145710_718215,center_20250427_145710_718215.png,left_20250427_145710_718215.png,right_20250427_145710_718215.png,0.5,0.5,-1.7801378965377808
20250427_145710_825213,center_20250427_145710_825213.png,left_20250427_145710_825213.png,right_20250427_145710_825213.png,0.5,0.5,-1.8083727359771729
20250427_145710_941213,center_20250427_145710_941213.png,left_20250427_145710_941213.png,right_20250427_145710_941213.png,0.5,0.5,-1.8110719919204712
20250427_145711_045212,center_20250427_145711_045212.png,left_20250427_145711_045212.png,right_20250427_145711_045212.png,0.5,0.5,-1.836312174797058
20250427_145711_152219,center_20250427_145711_152219.png,left_20250427_145711_152219.png,right_20250427_145711_152219.png,0.5,0.5,-1.8751250505447388
20250427_145711_258213,center_20250427_145711_258213.png,left_20250427_145711_258213.png,right_20250427_145711_258213.png,0.5,0.0,-1.8941963911056519
